region_country,year,value
USA,2012,55280.0
USA,2013,98799.0
USA,2014,120437.0
USA,2015,117525.0
USA,2016,163130.0
USA,2017,198750.0
USA,2018,365970.0
USA,2019,333860.0
USA,2020,303882.0
USA,2021,642530.0
USA,2022,1012440.0
USA,2023,1421520.0
USA,2024,1556110.0
United Kingdom,2010,1054.0
United Kingdom,2011,1854.0
United Kingdom,2012,3150.0
United Kingdom,2013,4100.0
United Kingdom,2014,15536.0
United Kingdom,2015,30404.0
United Kingdom,2016,40726.0
United Kingdom,2017,50794.0
United Kingdom,2018,64422.0
United Kingdom,2019,80418.0
United Kingdom,2020,186451.0
United Kingdom,2021,328807.0
United Kingdom,2022,394632.0
United Kingdom,2023,478975.0
United Kingdom,2024,580686.0
Viet Nam,2014,1400.0
Viet Nam,2015,4200.0
Viet Nam,2016,35000.0
Viet Nam,2017,42000.0
Viet Nam,2018,96003.0
Viet Nam,2019,190000.0
Viet Nam,2020,210000.0
Viet Nam,2021,250086.0
Viet Nam,2022,267319.0
Viet Nam,2023,282064.0
Viet Nam,2024,319084.0
