country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Colombia,2021,1.7,5800.0,0.17,447.0
France,2017,1.7,147029.0,0.38,21000.0
New Zealand,2016,1.7,2360.0,0.079,
Rest of the world,2022,1.7,330023.0,0.25,6400.0
Switzerland,2015,1.7,11010.0,0.25,3660.0
Cyprus,2021,1.7,,,
Seychelles,2022,1.7,,,
Germany,2017,1.6,104310.0,0.22,11600.0
Israel,2019,1.6,11400.0,0.37,
Malaysia,2017,1.6,8325.0,0.082,
Ireland,2018,1.6,,,
Austria,2016,1.5,11413.0,0.24,
China,2016,1.5,630000.0,0.39,86000.0
Malaysia,2018,1.5,9311.0,0.089,
Malaysia,2023,1.5,35003.0,0.29,1640.0
Mexico,2023,1.5,41000.0,0.18,1600.0
Hungary,2018,1.5,,,
France,2016,1.4,84034.0,0.22,20000.0
Iceland,2013,1.4,160.0,0.067,
India,2022,1.4,72123.0,0.16,10900.0
Indonesia,2022,1.4,12140.0,0.1,620.0
Norway,2011,1.4,3903.0,0.17,3118.0
Sweden,2014,1.4,7103.0,0.15,1000.0
United Kingdom,2016,1.4,85000.0,0.27,11780.0
Cyprus,2020,1.4,,,
Rest of the world,2021,1.3,199009.9,0.15,4350.0
Spain,2019,1.3,45002.0,0.19,4500.0
Turkiye,2022,1.3,16300.0,0.14,2160.0
USA,2017,1.3,763500.0,0.33,45600.0
Australia,2019,1.2,20600.0,0.14,1960.0
Brazil,2022,1.2,39003.0,0.12,3150.0
Costa Rica,2019,1.2,810.0,0.079,
Finland,2016,1.2,3240.0,0.11,850.0
France,2015,1.2,54310.0,0.15,10480.0
Israel,2018,1.2,6800.0,0.23,
Japan,2017,1.2,202300.0,0.31,29300.0
Japan,2021,1.2,346600.0,0.51,29000.0
Thailand,2021,1.2,35100.0,0.21,2270.0
Australia,2020,1.1,27000.0,0.18,2480.0
Japan,2018,1.1,232900.0,0.36,29700.0
Thailand,2020,1.1,26200.0,0.16,1910.0
United Kingdom,2015,1.1,48000.0,0.16,8740.0
Lithuania,2020,1.1,,,
Canada,2017,1.0,47005.0,0.21,5680.0
China,2015,1.0,297000.0,0.21,47000.0
Netherlands,2012,1.0,6300.0,0.079,2821.0
Thailand,2019,1.0,18890.0,0.12,819.0
Hungary,2017,1.0,,,
USA,2016,0.99,571200.0,0.26,38800.0
Mexico,2022,0.96,24000.0,0.11,1520.0
Korea,2017,0.96,25400.0,0.13,10490.0
Colombia,2020,0.94,3200.0,0.096,
Switzerland,2014,0.94,5410.0,0.12,1399.0
Romania,2019,0.93,,,
Brazil,2021,0.92,19401.0,0.063,930.0
Denmark,2014,0.91,3000.0,0.13,1710.0
Slovenia,2018,0.91,,,
Austria,2015,0.9,6506.0,0.14,
Japan,2019,0.9,263600.0,0.41,30900.0
Italy,2019,0.88,40028.0,0.1,9400.0
Portugal,2016,0.87,4400.0,0.089,1341.0
Thailand,2018,0.87,8690.0,0.057,96.0
Costa Rica,2018,0.84,430.0,0.043,
Denmark,2016,0.84,9868.0,0.4,4540.0
Spain,2018,0.81,28001.0,0.12,4840.0
Colombia,2019,0.78,2050.0,0.062,
Mexico,2021,0.78,16000.0,0.076,1250.0
Japan,2020,0.77,304100.0,0.45,29900.0
USA,2014,0.77,290055.0,0.14,20000.0
Belgium,2015,0.76,7108.0,0.13,1400.0
Canada,2016,0.76,29005.0,0.13,4040.0
Rest of the world,2020,0.76,107003.9,0.086,
Chile,2023,0.75,5702.0,0.13,1070.0
Germany,2016,0.74,66049.0,0.14,7500.0
Germany,2015,0.73,45086.0,0.097,5070.0
Ireland,2017,0.72,,,
USA,2013,0.71,172000.0,0.078,15000.0
USA,2015,0.7,400160.0,0.19,31500.0
France,2014,0.69,31600.0,0.086,1810.0
Japan,2014,0.69,111000.0,0.18,11500.0
Bulgaria,2019,0.67,,,
Bulgaria,2018,0.64,,,
Slovenia,2017,0.64,,,
Japan,2013,0.63,69000.0,0.12,1800.0
Turkiye,2021,0.63,8600.0,0.074,1970.0
Seychelles,2016,0.63,,,
Portugal,2015,0.62,2530.0,0.053,1222.0
South Africa,2024,0.61,5103.0,0.066,380.0
Chile,2022,0.6,2902.0,0.068,660.0
Denmark,2017,0.6,10683.0,0.42,4590.0
Finland,2015,0.6,1580.0,0.054,840.0
Japan,2016,0.6,154400.0,0.25,24100.0
New Zealand,2015,0.6,910.0,0.03,
United Kingdom,2014,0.59,21700.0,0.072,7450.0
Japan,2015,0.58,134400.0,0.22,22000.0
Austria,2014,0.57,4183.0,0.089,
Spain,2017,0.56,16300.0,0.071,4740.0
Latvia,2019,0.54,,,
France,2013,0.53,18500.0,0.052,1800.0
Japan,2012,0.53,41000.0,0.068,1400.0
Sweden,2013,0.53,2603.0,0.058,5.0
Latvia,2018,0.53,,,
Israel,2017,0.52,3100.0,0.11,
Italy,2018,0.5,23012.0,0.058,3600.0
Malaysia,2022,0.49,11700.0,0.1,440.0
Mexico,2020,0.49,9500.0,0.046,1176.0
Czech Republic,2019,0.49,,,
Poland,2019,0.48,8634.0,0.047,650.0
Ireland,2015,0.47,,,
Ireland,2016,0.47,,,
Malaysia,2019,0.46,6652.0,0.062,
Estonia,2018,0.46,,,
Romania,2018,0.46,,,
Canada,2015,0.45,17605.0,0.084,3463.0
Germany,2014,0.45,25400.0,0.056,2720.0
Greece,2019,0.42,1200.0,0.029,64.0
Switzerland,2013,0.42,2500.0,0.058,627.0
USA,2012,0.42,75000.0,0.034,12000.0
Australia,2018,0.41,10900.0,0.077,731.0
Belgium,2014,0.41,3702.0,0.067,615.0
Finland,2014,0.41,930.0,0.032,386.0
India,2021,0.41,23101.0,0.055,4910.0
Croatia,2019,0.41,,,
China,2014,0.4,85000.0,0.07,21000.0
Czech Republic,2018,0.38,,,
Colombia,2018,0.36,890.0,0.027,
Estonia,2019,0.36,,,
Hungary,2016,0.36,,,
Slovakia,2019,0.36,,,
Canada,2014,0.35,10705.0,0.053,2355.0
Lithuania,2019,0.35,,,
New Zealand,2014,0.34,410.0,0.014,
Bulgaria,2017,0.34,,,
France,2012,0.33,9300.0,0.029,809.0
Iceland,2012,0.33,60.0,0.019,
Korea,2016,0.33,10626.0,0.059,1590.0
Rest of the world,2019,0.32,62002.9,0.05,
Lithuania,2016,0.32,,,
Slovenia,2016,0.32,,,
Japan,2011,0.31,16015.0,0.027,800.0
Sweden,2012,0.31,1250.0,0.028,
South Africa,2023,0.3,3503.0,0.044,350.0
Slovakia,2018,0.3,,,
Chile,2021,0.29,1411.0,0.034,500.0
Denmark,2012,0.29,1214.0,0.056,900.0
