country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
China,2010,0.01,1940.0,0.0031,
Mexico,2012,0.01,91.0,0.0006,
Russia,2015,0.01,255.0,0.00057,
Russia,2017,0.0093,770.0,0.0017,
Mexico,2015,0.0086,247.0,0.0015,83.0
Rest of the world,2011,0.0086,3117.0,0.0033,
Rest of the world,2013,0.0081,2750.0,0.0027,
Chile,2014,0.0079,33.0,0.0012,18.0
Spain,2010,0.0077,76.0,0.00034,
Thailand,2014,0.0076,99.0,0.00075,
South Africa,2013,0.0075,34.0,0.00054,
India,2012,0.0072,2800.0,0.012,
Rest of the world,2010,0.0071,2900.0,0.0031,
Italy,2011,0.0065,760.0,0.002,
Malaysia,2015,0.0063,79.0,0.00084,
Australia,2011,0.0061,49.0,0.00039,
Portugal,2010,0.0058,720.0,0.015,
Greece,2013,0.0051,3.0,6.8e-05,
Mexico,2014,0.005,150.0,0.00093,
Korea,2010,0.005,61.0,0.00037,
Germany,2010,0.0049,250.0,0.00058,
Poland,2010,0.0048,,,
Thailand,2016,0.0048,375.0,0.0027,
Thailand,2015,0.0046,370.0,0.0027,
Brazil,2015,0.0042,148.0,0.00048,
South Africa,2014,0.0034,49.0,0.00074,
Indonesia,2017,0.0032,,,
Malaysia,2014,0.0025,27.0,0.0003,
Brazil,2013,0.0024,,,
Chile,2011,0.0024,6.0,0.00028,2.0
Brazil,2014,0.0022,61.0,0.0002,
Chile,2012,0.002,11.0,0.00047,10.0
Italy,2010,0.002,650.0,0.0017,
Chile,2013,0.0019,16.0,0.00062,13.0
Malaysia,2012,0.0018,26.0,0.00033,
Russia,2012,0.0017,90.0,0.00021,
Viet Nam,2018,0.0016,3.0,0.0002,
Russia,2011,0.0015,,,
Brazil,2012,0.0013,,,
Israel,2011,0.0013,85.0,0.0044,
Mexico,2013,0.0013,100.0,0.00066,
Sweden,2010,0.0013,4.0,9.2e-05,
Thailand,2011,0.001,13.0,0.00012,
Thailand,2013,0.001,30.0,0.00024,
Thailand,2012,0.00055,18.0,0.00016,
Colombia,2011,0.00042,,,
Mexico,2011,0.0004,3.0,2.1e-05,
Brazil,2010,0.00035,,,
Malaysia,2013,0.00035,14.0,0.00017,
Indonesia,2011,0.00034,,,
Brazil,2011,0.00028,,,
Indonesia,2013,0.00024,,,
Indonesia,2018,0.00023,,,
Turkiye,2013,0.00015,230.0,0.0026,
Thailand,2010,0.00013,4.0,4.1e-05,
